
Solucion numero: 1
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		144
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		394
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		218
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		380
131
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		427
45
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		132
399
	3	12		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		360
	3	13		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		244
	3	14		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		124
	16	12		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12		418
	16	13		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12 - 13		85
	16	14		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 14		73
	0	17		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		398
	0	18		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		29
	1	0		1 - 0		374
	1	5		1 - 0 - 2 - 3 - 4 - 5		38
	1	6		1 - 0 - 2 - 3 - 4 - 5 - 6		69
	1	10		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		207
210
	1	11		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		290
442
	0	5		0 - 1 - 2 - 3 - 4 - 5		98
	0	6		0 - 1 - 2 - 3 - 4 - 5 - 6		117
	0	10		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		301
	1	15		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		187
327
	1	16		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		156
444
	1	17		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		303
414
	1	18		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		257
4
	2	3		2 - 0 - 1 - 16 - 4 - 3		226
	2	12		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		52
	2	13		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		90
	2	14		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		134
	3	0		3 - 2 - 0		60
	3	2		3 - 2		323
	3	4		3 - 2 - 0 - 1 - 16 - 4		223
	3	5		3 - 2 - 0 - 1 - 16 - 4 - 5		211
	3	6		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6		406
	3	10		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10		252
	3	11		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		276
	0	11		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		268
	0	1		0 - 1		335
	0	2		0 - 1 - 2		272
	3	15		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		368
	3	18		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		434
	4	3		4 - 3		334
	4	12		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12		198
	4	13		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12 - 13		24
	4	14		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 14		166
	5	3		5 - 4 - 3		138
	5	4		5 - 4		76
	8	3		8 - 7 - 6 - 4 - 3		308
	8	4		8 - 7 - 6 - 4		389
	8	12		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		111
	8	13		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		17
	8	14		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		58
	10	3		10 - 5 - 4 - 3		50
	10	4		10 - 5 - 4		82
	12	11		12 - 11		37
	13	12		13 - 12		61
	15	13		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12 - 13		125
	16	0		16 - 1 - 0		228
	16	5		16 - 1 - 0 - 2 - 3 - 4 - 5		114
	16	6		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6		93
	16	10		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10		341
	16	11		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 11		435
	0	3		0 - 1 - 2 - 3		9
	0	15		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		253
	0	16		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		447
	16	15		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 15		155
	16	18		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 18		54
	18	3		18 - 5 - 4 - 3		298
	18	4		18 - 5 - 4		86
	2	6		2 - 0 - 1 - 16 - 4 - 5 - 6		367
	3	7		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		59
	5	6		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7 - 6		7
	6	7		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 7		83
	6	8		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		30
	7	3		7 - 6 - 4 - 3		20
	7	4		7 - 6 - 4		90
	7	6		7 - 6		427
	7	8		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		77
	7	12		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		190
	7	13		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		289
	7	14		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		319
	8	0		8 - 7 - 6 - 4 - 2 - 0		199
	8	1		8 - 7 - 6 - 4 - 2 - 0 - 1		337
	8	2		8 - 7 - 6 - 4 - 2		412
	3	8		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		138
	2	10		2 - 0 - 1 - 16 - 4 - 5 - 10		118
	8	5		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		257
	8	6		8 - 7 - 6		201
	8	7		8 - 7		166
	8	9		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		316
	8	10		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		431
	8	11		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		278
	2	11		2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		343
	1	7		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		449
	1	8		1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		310
	8	15		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		417
	8	17		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		287
	8	18		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		4
	9	8		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7 - 8		365
	10	0		10 - 5 - 4 - 2 - 0		430
	10	2		10 - 5 - 4 - 2		282
	7	18		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		121
	13	3		13 - 12 - 11 - 9 - 4 - 3		435
	9	0		9 - 4 - 2 - 0		411
	16	7		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		116
	17	10		17 - 10		170
	4	6		4 - 2 - 0 - 1 - 16 - 5 - 6		152
	16	4		16 - 1 - 0 - 2 - 4		36
	6	4		6 - 4		63
	15	4		15 - 0 - 1 - 2 - 4		93
	13	0		13 - 12 - 11 - 9 - 4 - 2 - 0		149
	18	2		18 - 5 - 4 - 2		180
	18	0		18 - 5 - 4 - 2 - 0		172
	6	1		6 - 4 - 2 - 0 - 1		202
	4	16		4 - 2 - 0 - 1 - 16		89
	2	15		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		386
	12	1		12 - 11 - 9 - 4 - 2 - 1		258
	10	11		10 - 5 - 4 - 2 - 0 - 15 - 11		183
	2	17		2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		410
	2	4		2 - 0 - 1 - 16 - 4		165
	18	7		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		81
	13	14		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		22
	11	10		11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		327
	12	2		12 - 11 - 9 - 4 - 2		50
	9	7		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		228
	10	9		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9		139
	13	8		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		385
	17	8		17 - 10 - 5 - 4 - 6 - 7 - 8		42
	7	9		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		143
	12	3		12 - 11 - 9 - 4 - 3		417
	12	18		12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		389
	12	13		12 - 11 - 9 - 4 - 2 - 0 - 15 - 13		3
	10	6		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		439
	15	7		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		105
	17	1		17 - 10 - 5 - 4 - 2 - 1		49
	7	16		7 - 6 - 4 - 2 - 0 - 1 - 16		114
	6	5		6 - 4 - 2 - 0 - 1 - 16 - 5		267
	5	16		5 - 4 - 2 - 0 - 1 - 16		128
	11	17		11 - 9 - 4 - 2 - 0 - 15 - 17		305
	18	12		18 - 5 - 4 - 2 - 0 - 15 - 11 - 12		436
