01	0	1	0-1	21	1	21
01	0	1	0-5-4-1	21	3	63
02	0	2	0-1-2	40	2	80
02	0	2	0-5-4-1-2	40	4	160
03	0	3	0-1-2-3	26	3	78
03	0	3	0-5-4-3	26	3	78
04	0	4	0-1-4	18	2	36
04	0	4	0-5-4	18	2	36
05	0	5	0-5	26	1	26
05	0	5	0-1-4-5	26	3	78
10	1	0	1-0	12	1	12
10	1	0	1-4-5-0	12	3	36
12	1	2	1-2	27	1	27
12	1	2	1-4-3-2	27	3	81
13	1	3	1-2-3	23	2	46
13	1	3	1-4-3	23	2	46
14	1	4	1-4	17	1	17
14	1	4	1-2-3-4	17	3	51
15	1	5	1-0-5	48	2	96
15	1	5	1-4-5	48	2	96
20	2	0	2-1-0	27	2	54
20	2	0	2-3-4-1-0	27	4	108
21	2	1	2-1	24	1	24
21	2	1	2-3-4-1	24	3	72
23	2	3	2-3	12	1	12
23	2	3	2-1-4-3	12	3	36
24	2	4	2-1-4	8	2	16
24	2	4	2-3-4	8	2	16
25	2	5	2-1-0-5	29	3	87
25	2	5	2-3-4-5	29	3	87
30	3	0	3-2-1-0	30	3	90
30	3	0	3-4-5-0	30	3	90
31	3	1	3-2-1	5	2	10
31	3	1	3-4-1	5	2	10
32	3	2	3-2	27	1	27
32	3	2	3-4-1-2	27	3	81
34	3	4	3-4	40	1	40
34	3	4	3-2-1-4	40	3	120
35	3	5	3-4-5	38	2	76
35	3	5	3-2-1-0-5	38	4	152
40	4	0	4-1-0	21	2	42
40	4	0	4-5-0	21	2	42
41	4	1	4-1	23	1	23
41	4	1	4-5-0-1	23	3	69
42	4	2	4-1-2	27	2	54
42	4	2	4-3-2	27	2	54
43	4	3	4-3	24	1	24
43	4	3	4-1-2-3	24	3	72
45	4	5	4-5	18	1	18
45	4	5	4-1-0-5	18	3	54
50	5	0	5-0	47	1	47
50	5	0	5-4-1-0	47	3	141
51	5	1	5-0-1	34	2	68
51	5	1	5-4-1	34	2	68
52	5	2	5-0-1-2	3	3	9
52	5	2	5-4-3-2	3	3	9
53	5	3	5-4-3	42	2	84
53	5	3	5-0-1-2-3	42	4	168
54	5	4	5-4	18	1	18
54	5	4	5-0-1-4	18	3	54
